id,titulo,ubicacion,tipo,categoria,precio_texto,status,created_at
21,"VENTA. Modelo Montecarlo","León, Gto, Zona Norte","Departamento","venta","$5,268,000","Disponible","2025-12-02T15:34:51.390852+00:00"
22,"VENTA. Modelo Londres","León, Gto. Zona Norte","Departamento","venta","$4,654,300","Disponible","2025-12-02T16:41:02.863313+00:00"
23,"VENTA. Modelo Milán","León, Gto. Zona Norte","Departamento","venta","$3,858,000","Disponible","2025-12-03T04:09:37.611582+00:00"
42,"VENTA ","VALLES DEL MOLINO B","Casa","venta","$5,600,000","Disponible","2025-12-10T20:36:25.45763+00:00"
43,"EDIFICIO EN VENTA ","Colonia CENTRO","Edificio","venta","$5,200,000","Disponible","2025-12-10T20:41:42.072144+00:00"
46,"NAVE EN VENTA","Mariano Escobedo ","Nave Industrial","venta","$27,000,000","Disponible","2025-12-10T20:56:16.436585+00:00"
47,"HECTÁREAS (7.25) EN VENTA ","COMANJA DE CORONA","Hectáreas","venta","$43,500,000","Disponible","2025-12-10T21:02:32.469757+00:00"
48,"TERRENO EN VENTA (5,404 m2)","Blvd. Querencia y 92 m","Terreno (m²)","venta","$30,000,000","Disponible","2025-12-10T21:05:42.535487+00:00"
49,"TERRENOS EN VENTA","VERGEL DE LA SIERRA","Terreno (m²)","venta","$1,800,000","Disponible","2025-12-10T21:10:25.231706+00:00"
50,"VENTA","EL BOSQUE COUNTRY CLUB","Casa","venta","$15,950,000","Disponible","2025-12-10T21:15:46.13023+00:00"
51,"VENTA","EL MAYORAZGO ","Casa","venta","$3,900,000","Disponible","2025-12-11T02:26:45.887601+00:00"
53,"Casa en VENTA con alberca","La Campiña","Casa","venta","$12,500,000","Disponible","2025-12-11T02:42:23.68457+00:00"
54,"Ubicada sobre Blvd. Principal ","El Mayorazgo ","Casa","venta","$3,490,000","Disponible","2025-12-11T02:47:41.433472+00:00"
55,"PREVENTA Mod. ENCINO","Villa Valbuena","Casa","venta","$2,928,000","Disponible","2025-12-13T03:57:19.305581+00:00"
56,"PREVENTA Mod. OLMO VILLA VALBUENA","León, Gto. Zona Norte Villa Valbuena","Casa","venta","$3,509,960","Disponible","2025-12-15T18:48:16.09891+00:00"
57,"RENTA","Residencial Rubí","Departamento","venta","$9,950","Disponible","2025-12-16T01:51:18.490228+00:00"
58,"PREVENTA. Mod. ALAMO","León, Gto. Zona Norte Villa Valbuena","Casa","venta","$3,018,000","Disponible","2025-12-17T04:43:12.050996+00:00"
59,"PREVENTA Mod. FRESNO VILLA VALBUENA","León, Gto. Zona norte. Villa Valbuena","Casa","venta","$3,061,810","Disponible","2025-12-20T18:52:16.61123+00:00"
60,"PREVENTA Mod. CIPRÉS VILLA VALBUENA","León, Gto. Zona Norte Villa Valbuena","Casa","venta","$2,853,960","Disponible","2025-12-20T19:10:38.927616+00:00"
61,"PREVENTA Mod. NOGAL VILLA VALBUENA ","León, Gto. Zona Norte Villa Valbuena","Casa","venta","$3,974,610","Disponible","2025-12-20T19:32:29.502687+00:00"
63,"Residencia Argentum ","La Valenciana, León, Gto ","Residencia","venta","$12,398,000","Disponible","2025-12-29T17:12:49.404538+00:00"
64,"CASA EN VENTA ","PORTAFONTANA ","Casa","venta","$9,500,000","Disponible","2026-01-22T17:31:58.040242+00:00"
66,"Departamento ","Adamant","Departamento","renta","$18,000","Disponible","2026-01-24T04:39:20.452516+00:00"
69,"PREVENTA ","Mayorca","Casa","venta","$4,950,000","Disponible","2026-01-24T05:38:41.352367+00:00"
70,"Casa en Villas La Valenciana","Villas La Valenciana ","Casa","venta","$5,888,000","Disponible","2026-01-29T23:58:51.528001+00:00"
71,"Casa en Villas La Valenciana al norte de León","Villas La Valenciana ","Casa","venta","$5,288,000","Disponible","2026-01-30T00:04:51.401503+00:00"
72,"Residencia en La Valenciana Residencial","La Valenciana Residencial","Residencia","venta","$12,398,000","Disponible","2026-01-30T00:38:31.920385+00:00"
74,"Casa en VENTA ","Cumbres de la Pradera, León Gto. ","Casa","venta","$2,350,000","Disponible","2026-02-03T17:00:50.853503+00:00"
75,"Casa en Venta ","Gran Jardín ","Casa","venta","$6,500,000","Disponible","2026-02-03T17:15:29.263955+00:00"
76,"Casa en Venta ZANDA.","León, Gto","Casa","venta","$5,700,000","Disponible","2026-02-03T17:36:28.904415+00:00"
78,"Casa en PREVENTA REAL DEL BOSQUE ","Real del bosque, León, Gto. ","Casa","venta","$3,200,000","Disponible","2026-02-03T17:56:28.401893+00:00"
80,"OFERTA Departamento en venta RESIDENCIAL RUBI ","Residencial Rubi, León,Gto","Departamento","venta","$1,450,000","Disponible","2026-02-03T18:10:58.923015+00:00"
81,"En venta MAYORKA ","MAYORKA León Gto zona este ","Casa","venta","$4,300,000","Disponible","2026-02-03T18:17:26.712483+00:00"
